School,City,State,Zip,Lat,Lon,Region,Locale,2yr/4yr,Online only?,School size (students),Pubic or Private
Our Lady of the Lake University,San Antonio,TX,78207-4689,29.426194,-98.54365,6,11.0,1,0.0,1383.0,2
The University of Texas Health Science Center at San Antonio,San Antonio,TX,78229-3900,29.508107,-98.575655,6,11.0,1,0.0,774.0,1
Texas Southmost College,Brownsville,TX,78520,25.899628,-97.492241,6,12.0,2,0.0,3912.0,1
West Texas A & M University,Canyon,TX,79016-0001,34.982789,-101.914736,6,31.0,1,0.0,7368.0,1
New England Culinary Institute,Montpelier,VT,05602,44.261307,-72.575081,1,32.0,1,0.0,73.0,3
Trinity University,San Antonio,TX,78212-7200,29.462682,-98.48186,6,11.0,1,0.0,2462.0,2
O'Briens Aveda Institute,Williston,VT,05495,44.447199,-73.102721,1,22.0,3,0.0,39.0,3
Wiley College,Marshall,TX,75670,32.537641,-94.376814,6,32.0,1,0.0,1002.0,2
Texas Tech University Health Sciences Center,Lubbock,TX,79430,33.589284,-101.891915,6,11.0,1,0.0,1520.0,1
AmeriTech College-Provo,Provo,UT,84604,40.261512,-111.669276,7,12.0,3,0.0,19.0,3
College of St Joseph,Rutland,VT,05701-3899,43.600507,-73.000848,1,32.0,1,0.0,143.0,2
Vernon College,Vernon,TX,76384-4092,34.159298,-99.319094,6,41.0,2,0.0,2228.0,1
University of Vermont,Burlington,VT,05405-0160,44.477325,-73.196646,1,13.0,1,0.0,10612.0,1
Collectiv Academy,Sandy,UT,84094,40.56441,-111.85166100000001,7,21.0,3,0.0,22.0,3
Regent University,Virginia Beach,VA,23464,36.801173,-76.194627,5,11.0,1,0.0,4161.0,2
Central Virginia Community College,Lynchburg,VA,24502-2498,37.358809,-79.184238,5,13.0,2,0.0,2351.0,1
Shenandoah University,Winchester,VA,22601-5195,39.167355,-78.157433,5,13.0,1,0.0,2022.0,2
Strayer University-Virginia,Arlington,VA,22201,38.890995,-77.085294,5,12.0,1,0.0,4111.0,3
Thomas Nelson Community College,Hampton,VA,23666,37.063821,-76.420046,5,12.0,2,0.0,6019.0,1
University of Mary Washington,Fredericksburg,VA,22401-5300,38.302492,-77.476055,5,22.0,1,0.0,4371.0,1
University of Southern Mississippi,Hattiesburg,MS,39406-0001,31.32661,-89.331236,5,13.0,1,0.0,11834.0,1
Ozarks Technical Community College,Springfield,MO,65802,37.216479,-93.279985,4,12.0,2,0.0,9934.0,1
Cleveland University-Kansas City,Overland Park,KS,66210,38.932019,-94.679076,4,12.0,1,0.0,67.0,2
Midwestern Baptist Theological Seminary,Kansas City,MO,64118-4697,39.185691,-94.573185,4,11.0,1,0.0,588.0,2
Columbia College,Columbia,MO,65216,38.957388,-92.326354,4,12.0,1,0.0,10767.0,2
Avila University,Kansas City,MO,64145-1698,38.91339,-94.591758,4,11.0,1,0.0,1191.0,2
Crowder College,Neosho,MO,64850,36.814906,-94.368315,4,32.0,2,0.0,3076.0,1
Eden Theological Seminary,Webster Groves,MO,63119-3192,38.592307,-90.345605,4,21.0,1,0.0,,2
Paul Mitchell the School-Missouri Columbia,Columbia,MO,65202,38.969222,-92.310417,4,12.0,3,0.0,100.0,3
Lindenwood University,Saint Charles,MO,63301-1695,38.785425,-90.501286,4,13.0,1,0.0,6458.0,2
University of Missouri-Kansas City,Kansas City,MO,64110,39.034179,-94.582141,4,11.0,1,0.0,7681.0,1
Three Rivers College,Poplar Bluff,MO,63901,36.776571,-90.429769,4,33.0,2,0.0,2442.0,1
Salem College of Hairstyling,Rolla,MO,65401,37.944067,-91.785219,4,33.0,3,0.0,33.0,3
North Central Missouri College,Trenton,MO,64683,40.078096,-93.617353,4,33.0,2,0.0,1187.0,1
Moberly Area Community College,Moberly,MO,65270-1304,39.418607,-92.455064,4,32.0,2,0.0,3536.0,1
University of Providence,Great Falls,MT,59405-4996,47.490713,-111.270604,7,13.0,1,0.0,876.0,2
Kansas City University of Medicine and Biosciences,Kansas City,MO,64106-1453,39.107553,-94.561374,4,11.0,1,0.0,,2
St. Louis College of Pharmacy,Saint Louis,MO,63110-1088,38.636904,-90.260617,4,11.0,1,0.0,379.0,2
Nazarene Theological Seminary,Kansas City,MO,64131-1246,39.009265,-94.565781,4,11.0,1,0.0,,2
Little Big Horn College,Crow Agency,MT,59022,45.603781,-107.455421,7,43.0,2,0.0,255.0,1
Rocky Mountain College,Billings,MT,59102-1796,45.796522,-108.554075,7,12.0,1,0.0,879.0,2
Poplar Bluff Technical Career Center,Poplar Bluff,MO,63901-8960,36.793776,-90.450477,4,33.0,3,0.0,21.0,1
The University of Montana-Western,Dillon,MT,59725-3598,45.208306,-112.639264,7,33.0,1,0.0,1310.0,1
Rolla Technical Institute/Center,Rolla,MO,65401,37.947448,-91.748741,4,33.0,2,0.0,108.0,1
College of Southern Nevada,Las Vegas,NV,89146-1164,36.158114,-115.233099,8,11.0,1,0.0,29660.0,1
Keene State College,Keene,NH,03435-1506,42.926452,-72.279276,1,32.0,1,0.0,3416.0,1
Sierra Nevada College,Incline Village,NV,89451,39.244278,-119.939125,8,32.0,1,0.0,397.0,2
University of Nebraska at Kearney,Kearney,NE,68849-1212,40.701452,-99.098699,4,32.0,1,0.0,4328.0,1
Purdue University Global-Lincoln,Lincoln,NE,68508,40.808915,-96.694181,4,11.0,1,0.0,248.0,1
Rowan University,Glassboro,NJ,08028,39.709108,-75.119119,2,21.0,1,0.0,15755.0,1
Atlantic Cape Community College,Mays Landing,NJ,08330-2699,39.462081,-74.680019,2,41.0,2,0.0,4768.0,1
Divers Academy International,ERIAL,NJ,08081,39.747926,-75.000877,2,21.0,3,0.0,27.0,3
Drew University,Madison,NJ,07940,40.761829,-74.424584,2,21.0,1,0.0,1530.0,2
Hudson County Community College,Jersey City,NJ,07306,40.7303,-74.062903,2,11.0,2,0.0,7540.0,1
Kean University,Union,NJ,07083,40.677981,-74.233503,2,21.0,1,0.0,11679.0,1
Pennco Tech-Blackwood,Blackwood,NJ,08012,39.807941,-75.061659,2,21.0,2,0.0,558.0,3
