School,State,Online only?,School size (students),2yr/4yr,Pubic or Private,Tuition (in state),Tuition (out of state),Earnings after 10 years - mean,Earnings after 10 years - median,Earnings after 10 years - std,Earnings after 10 years - mean - female,Earnings after 10 years - mean - male,Earnings after 6 years - mean,Earnings after 6 years - median,Earnings after 6 years - std,Earnings after 6 years - mean - female,Earnings after 6 years - mean - male
Georgia Northwestern Technical College,GA,0.0,3816.0,2,1,2798.0,4934.0,31000.0,28200.0,22100.0,26300.0,38500.0,24200.0,22400.0,16700.0,22000.0,30100.0
University of South Florida-Main Campus,FL,0.0,31321.0,1,1,6410.0,17324.0,49800.0,45000.0,37800.0,45400.0,56500.0,35200.0,33300.0,23300.0,33700.0,37600.0
Atlanta Metropolitan State College,GA,0.0,1934.0,1,1,3416.0,9880.0,30900.0,28600.0,21400.0,29600.0,33700.0,21600.0,19600.0,15400.0,21500.0,21900.0
The University of West Florida,FL,0.0,9371.0,1,1,6360.0,19241.0,43300.0,39700.0,28800.0,38200.0,51100.0,30900.0,29900.0,19200.0,28700.0,35000.0
Bene's Career Academy,FL,0.0,355.0,3,3,,,18700.0,13800.0,14700.0,,,17100.0,14400.0,14800.0,,
University of Hawaii at Manoa,HI,0.0,12609.0,1,1,11970.0,34002.0,50900.0,46600.0,38300.0,47300.0,55800.0,36600.0,33800.0,25300.0,35600.0,38100.0
Hawaii Pacific University,HI,0.0,3160.0,1,2,25980.0,25980.0,51700.0,46600.0,35500.0,49200.0,55900.0,41900.0,36100.0,28400.0,42400.0,40900.0
Mercer University,GA,0.0,4765.0,1,2,36894.0,36894.0,56200.0,48400.0,39300.0,51900.0,66300.0,49100.0,40100.0,36800.0,47400.0,53800.0
Georgia Southern University,GA,0.0,22239.0,1,1,6356.0,17142.0,45300.0,41800.0,34300.0,40000.0,50800.0,33700.0,31300.0,21000.0,31800.0,35500.0
Leeward Community College,HI,0.0,4634.0,2,1,3144.0,8280.0,34800.0,33100.0,23700.0,33600.0,38800.0,27600.0,25400.0,18800.0,26300.0,30300.0
Thomas University,GA,0.0,651.0,1,2,16940.0,16940.0,40500.0,37100.0,28300.0,36200.0,48300.0,33000.0,27600.0,22300.0,31100.0,36800.0
University of Hawaii-West Oahu,HI,0.0,2743.0,1,1,7512.0,20472.0,47000.0,45000.0,30300.0,,,34400.0,34300.0,19000.0,,
Valdosta State University,GA,0.0,8404.0,1,1,6410.0,17196.0,40800.0,38800.0,26000.0,37100.0,46200.0,30900.0,28900.0,23000.0,29500.0,32800.0
University of West Georgia,GA,0.0,10448.0,1,1,6288.0,17074.0,42600.0,39800.0,36500.0,39300.0,48100.0,32700.0,30400.0,20200.0,31600.0,34300.0
Eastwick College-Nutley,NJ,0.0,486.0,2,3,15305.0,15305.0,43900.0,41800.0,27600.0,35200.0,47200.0,25700.0,24100.0,16700.0,24600.0,27700.0
Robert Fiance Beauty Schools-West New York,NJ,0.0,64.0,3,3,,,19700.0,17000.0,16800.0,,,17000.0,13100.0,12600.0,,
Lincoln Technical Institute-South Plainfield,NJ,0.0,318.0,2,3,,,51500.0,53700.0,28800.0,,,41600.0,40500.0,33100.0,,
Essex County College,NJ,0.0,7014.0,2,1,4995.0,8790.0,39200.0,34900.0,27800.0,36500.0,44100.0,25800.0,22400.0,19800.0,24800.0,27500.0
Barnard College,NY,0.0,2557.0,1,2,55032.0,55032.0,71900.0,57800.0,66700.0,,,46400.0,43000.0,37300.0,,
New Mexico Institute of Mining and Technology,NM,0.0,1333.0,1,1,7770.0,22268.0,54400.0,50000.0,36000.0,47000.0,58600.0,46200.0,39700.0,34500.0,34100.0,50100.0
Western New Mexico University,NM,0.0,1738.0,1,1,6066.0,13539.0,36600.0,34200.0,25700.0,33400.0,41000.0,26000.0,22300.0,20700.0,22400.0,31400.0
Brittany Beauty Academy,NY,0.0,105.0,3,3,,,27100.0,22400.0,19200.0,,,19500.0,15500.0,14700.0,,
Hocking College,OH,0.0,2327.0,2,1,4540.0,9080.0,34300.0,32500.0,22200.0,30200.0,38400.0,25700.0,23400.0,17600.0,23100.0,27800.0
James A Rhodes State College,OH,0.0,1863.0,2,1,4085.0,8169.0,34600.0,32100.0,22500.0,30500.0,42900.0,28500.0,26000.0,18300.0,26500.0,33300.0
Lorain County Community College,OH,0.0,7346.0,1,1,3485.0,8081.0,33200.0,30300.0,22800.0,30400.0,41400.0,27700.0,24100.0,19800.0,25700.0,31000.0
North Central State College,OH,0.0,1762.0,2,1,3998.0,7996.0,30800.0,28100.0,21700.0,28800.0,36400.0,24800.0,22600.0,17100.0,22200.0,29700.0
Ohio University-Eastern Campus,OH,0.0,396.0,1,1,5490.0,8482.0,45300.0,40900.0,34000.0,40000.0,52300.0,32900.0,30400.0,22500.0,30700.0,35600.0
Notre Dame College,OH,0.0,1340.0,1,2,30160.0,30160.0,44500.0,41200.0,25200.0,,,32100.0,31200.0,17800.0,31700.0,33000.0
Tiffin University,OH,0.0,1995.0,1,2,25000.0,25000.0,42200.0,38100.0,26300.0,38500.0,45300.0,36000.0,32200.0,22300.0,32800.0,39300.0
Ohio University-Lancaster Campus,OH,0.0,1387.0,1,1,5490.0,8482.0,45300.0,40900.0,34000.0,40000.0,52300.0,32900.0,30400.0,22500.0,30700.0,35600.0
Tri-County Adult Career Center,OH,0.0,51.0,2,1,,,,,,,,,,,,
Ohio Technical College,OH,0.0,905.0,2,3,,,40800.0,37800.0,24700.0,,,32100.0,30400.0,19100.0,,
Ohio Northern University,OH,0.0,2144.0,1,2,32260.0,32260.0,66900.0,56200.0,44000.0,62900.0,70600.0,53800.0,46200.0,35400.0,55400.0,52500.0
Ohio State University Agricultural Technical Institute,OH,0.0,660.0,2,1,7707.0,26811.0,49200.0,43000.0,40100.0,43800.0,54800.0,37800.0,34400.0,29400.0,34000.0,41400.0
Owens Community College,OH,0.0,5812.0,2,1,5150.0,9062.0,35000.0,31800.0,31300.0,30800.0,42200.0,27600.0,25300.0,19900.0,24700.0,31500.0
Ohio State University-Newark Campus,OH,0.0,2771.0,1,1,7644.0,27660.0,49200.0,43000.0,40100.0,43800.0,54800.0,37800.0,34400.0,29400.0,34000.0,41400.0
University of Oklahoma-Health Sciences Center,OK,0.0,759.0,1,1,,,54300.0,46400.0,43700.0,46100.0,62100.0,46200.0,38400.0,49600.0,41200.0,52200.0
Southwestern Oklahoma State University,OK,0.0,4242.0,1,1,7335.0,14235.0,47300.0,38600.0,37100.0,40400.0,55600.0,38600.0,31700.0,33300.0,32000.0,46300.0
Tulsa Community College,OK,0.0,13903.0,2,1,3349.0,8581.0,37200.0,32800.0,28600.0,32500.0,46300.0,29800.0,27000.0,24900.0,27100.0,34900.0
New Hope Christian College-Eugene,OR,0.0,92.0,1,2,14830.0,14830.0,29900.0,27000.0,20400.0,21500.0,36200.0,23900.0,22000.0,14900.0,,
Oregon State University,OR,0.0,24787.0,1,1,11166.0,30141.0,55400.0,49100.0,40900.0,46000.0,63000.0,39100.0,33800.0,30800.0,33800.0,44400.0
Western Seminary,OR,0.0,,1,2,,,,,,,,,,,,
Lane Community College,OR,0.0,6607.0,2,1,4812.0,10428.0,34200.0,30600.0,25000.0,30200.0,39800.0,25600.0,22200.0,19500.0,23900.0,28000.0
Northwest College-Clackamas,OR,0.0,60.0,2,3,,,22600.0,19000.0,16700.0,,,18200.0,16800.0,11800.0,,
University of Portland,OR,0.0,3757.0,1,2,45904.0,45904.0,59700.0,53300.0,39100.0,53800.0,67000.0,49800.0,46100.0,27100.0,50200.0,48700.0
Pennsylvania State University-Dickinson Law,PA,0.0,,1,1,,,53800.0,47700.0,40600.0,46800.0,59800.0,40900.0,37500.0,27100.0,36700.0,44300.0
Douglas Education Center,PA,0.0,213.0,2,3,18980.0,18980.0,20500.0,19500.0,13500.0,,,21800.0,20800.0,14600.0,19900.0,24200.0
Aria Health School of Nursing,PA,0.0,98.0,2,2,,,67000.0,68600.0,32900.0,,,58900.0,62200.0,23200.0,,
Jolie Hair and Beauty Academy-Wilkes-Barre,PA,0.0,101.0,3,3,,,,,,,,16100.0,14700.0,10900.0,,
Moore College of Art and Design,PA,0.0,372.0,1,2,41424.0,41424.0,36000.0,34300.0,24700.0,,,26800.0,23700.0,18300.0,,
St Margaret School of Nursing,PA,0.0,102.0,2,2,15315.0,15315.0,,,,,,42500.0,43500.0,18100.0,,
Pennsylvania State University-Penn State Beaver,PA,0.0,576.0,1,1,13702.0,21886.0,53800.0,47700.0,40600.0,46800.0,59800.0,40900.0,37500.0,27100.0,36700.0,44300.0
Triangle Tech Inc-Greensburg,PA,0.0,120.0,2,3,17252.0,17252.0,35700.0,34400.0,22100.0,27900.0,39700.0,39300.0,37000.0,23500.0,,
Bryant University,RI,0.0,3471.0,1,2,43973.0,43973.0,72700.0,64800.0,56200.0,62500.0,80200.0,51800.0,51000.0,21700.0,51100.0,52400.0
New England Institute of Technology,RI,0.0,2596.0,1,2,29856.0,29856.0,43800.0,41900.0,26800.0,34900.0,46300.0,33700.0,31300.0,22000.0,28100.0,34700.0
Technical College of the Lowcountry,SC,0.0,1817.0,2,1,4684.0,10036.0,31400.0,27600.0,23200.0,28600.0,40700.0,25600.0,21500.0,21700.0,25200.0,26400.0
Providence College,RI,0.0,4079.0,1,2,50528.0,50528.0,72000.0,62200.0,49500.0,63600.0,84000.0,45100.0,44000.0,23100.0,44300.0,46200.0
Kenneth Shuler School of Cosmetology and Nails-Columbia,SC,0.0,130.0,3,3,,,19700.0,16900.0,14000.0,,,16800.0,14800.0,11000.0,,
Community College of Rhode Island,RI,0.0,13819.0,2,1,4564.0,12156.0,34100.0,30300.0,24000.0,31900.0,39600.0,26600.0,23300.0,19300.0,25400.0,28900.0
Avera Sacred Heart Hospital,SD,0.0,15.0,2,2,,,,,,,,,,,,
Headlines Academy Inc,SD,0.0,77.0,2,3,,,,,,,,18800.0,18000.0,13400.0,,
Memphis College of Art,TN,0.0,111.0,1,2,,,32200.0,25700.0,33700.0,,,20800.0,18100.0,14500.0,20300.0,21200.0
University of Memphis,TN,0.0,15563.0,1,1,9317.0,21029.0,44400.0,39500.0,40400.0,39400.0,51800.0,32100.0,28400.0,28600.0,29600.0,36100.0
Tennessee College of Applied Technology-Oneida-Huntsville,TN,0.0,311.0,2,1,,,,,,,,20200.0,17800.0,14100.0,,
Walters State Community College,TN,0.0,4620.0,2,1,4224.0,16800.0,30700.0,27400.0,22500.0,28600.0,36000.0,24900.0,21700.0,18000.0,22700.0,28900.0
William Moore College of Technology,TN,0.0,260.0,2,2,7305.0,7305.0,,,,,,,,,,
Southwest Tennessee Community College,TN,0.0,8382.0,2,1,4255.0,16543.0,30000.0,27100.0,21100.0,29400.0,32400.0,23400.0,20800.0,15800.0,22700.0,25000.0
Trevecca Nazarene University,TN,0.0,2189.0,1,2,25598.0,25598.0,47400.0,41300.0,32100.0,41400.0,55400.0,38000.0,33100.0,27800.0,35000.0,42100.0
Baylor University,TX,0.0,14159.0,1,2,45542.0,45542.0,58600.0,50000.0,43300.0,51900.0,67500.0,40200.0,39100.0,23500.0,38200.0,43200.0
Jarvis Christian College,TX,0.0,955.0,1,2,11720.0,11720.0,30000.0,27300.0,21100.0,29700.0,30500.0,19000.0,16700.0,15000.0,18200.0,19800.0
Dallas Theological Seminary,TX,0.0,,1,2,,,,,,,,,,,,
Vet Tech Institute of Houston,TX,0.0,176.0,2,3,14700.0,14700.0,31000.0,30500.0,18100.0,,,25700.0,25000.0,14400.0,,
Trinity Valley Community College,TX,0.0,3917.0,2,1,2640.0,5970.0,33700.0,30800.0,25500.0,29800.0,41500.0,27200.0,23000.0,21500.0,24800.0,31300.0
Laredo Beauty College Inc,TX,0.0,109.0,3,3,,,17100.0,14800.0,13600.0,,,17000.0,14100.0,15200.0,,
Cisco College,TX,0.0,3253.0,2,1,3810.0,4710.0,36300.0,32900.0,24400.0,32300.0,41700.0,27900.0,24600.0,21800.0,24100.0,33200.0
El Paso Community College,TX,0.0,27684.0,2,1,3010.0,4858.0,29700.0,24800.0,22400.0,25400.0,37300.0,24300.0,20200.0,19200.0,21500.0,27700.0
College of the Mainland,TX,0.0,3248.0,2,1,1773.0,3873.0,35700.0,29600.0,28700.0,31500.0,47100.0,30700.0,23400.0,27300.0,25200.0,42000.0
Episcopal Theological Seminary of the Southwest,TX,0.0,,1,2,,,,,,,,,,,,
Exposito School of Hair Design,TX,0.0,37.0,3,3,,,18000.0,14900.0,15400.0,,,18300.0,15500.0,14900.0,,
Covenant School of Nursing and Allied Health,TX,0.0,350.0,2,2,,,60400.0,58900.0,27900.0,,,54200.0,54000.0,19300.0,,
University of Houston-Downtown,TX,0.0,12572.0,1,1,6500.0,16460.0,46200.0,42800.0,32700.0,42400.0,52700.0,38500.0,36700.0,25500.0,36100.0,42300.0
University of Houston-Victoria,TX,0.0,3190.0,1,1,6491.0,16451.0,43600.0,40500.0,30800.0,,,37200.0,35900.0,21500.0,35000.0,45300.0
Howard Payne University,TX,0.0,895.0,1,2,28090.0,28090.0,43300.0,38400.0,35600.0,34000.0,50200.0,30200.0,28300.0,19400.0,26000.0,33800.0
Huston-Tillotson University,TX,0.0,1084.0,1,2,14346.0,14346.0,30900.0,30200.0,18100.0,31900.0,29800.0,26400.0,23300.0,19400.0,24300.0,28500.0
International Business College-El Paso,TX,0.0,105.0,2,3,,,23900.0,22800.0,15200.0,22800.0,28400.0,18700.0,17300.0,11900.0,17700.0,22300.0
Texas A & M University-Kingsville,TX,0.0,5811.0,1,1,8922.0,23899.0,44000.0,40100.0,36800.0,36200.0,50400.0,37200.0,33300.0,26600.0,31300.0,43300.0
Aviation Institute of Maintenance-Houston,TX,0.0,313.0,2,3,16757.0,16757.0,52700.0,48500.0,38300.0,,,,,,,
Southwest School of Business and Technical Careers-San Antonio,TX,0.0,39.0,3,3,,,21300.0,18900.0,16200.0,,,17800.0,16500.0,11700.0,,
Tint School of Makeup and Cosmetology-Irving,TX,0.0,135.0,3,3,,,27700.0,20500.0,23000.0,,,,,,,
The University of Texas at Austin,TX,0.0,40329.0,1,1,10610.0,37580.0,64400.0,52300.0,53600.0,56300.0,73300.0,48500.0,41600.0,46400.0,43400.0,54600.0
Saint Edward's University,TX,0.0,3757.0,1,2,45428.0,45428.0,50700.0,45600.0,33000.0,47600.0,55200.0,38400.0,34600.0,30800.0,35300.0,43300.0
Lone Star College System,TX,0.0,59074.0,2,1,1600.0,5200.0,37700.0,33400.0,33200.0,33600.0,48000.0,31600.0,27800.0,23100.0,29000.0,36700.0
The University of Texas at Tyler,TX,0.0,6732.0,1,1,8292.0,21282.0,50700.0,42800.0,34500.0,44600.0,63100.0,40200.0,36300.0,25000.0,35700.0,46900.0
Southwestern Adventist University,TX,0.0,755.0,1,2,21564.0,21564.0,43900.0,40600.0,28000.0,41000.0,48000.0,36900.0,32100.0,25700.0,37000.0,36800.0
Northeast Texas Community College,TX,0.0,1978.0,2,1,2849.0,6149.0,31300.0,29000.0,21800.0,28000.0,41700.0,26500.0,23700.0,19500.0,22900.0,32400.0
The University of Texas of the Permian Basin,TX,0.0,3558.0,1,1,6260.0,7100.0,46000.0,43200.0,30000.0,40900.0,55000.0,41500.0,38500.0,28900.0,34400.0,53700.0
Seguin Beauty School-Seguin,TX,0.0,22.0,3,3,,,17200.0,12200.0,15900.0,,,18800.0,15000.0,15900.0,,
Ogle School Hair Skin Nails-Ft Worth,TX,0.0,279.0,3,3,,,24100.0,20800.0,17300.0,,,21100.0,17700.0,18400.0,,
Texas Tech University,TX,0.0,30795.0,1,1,9080.0,19040.0,54500.0,48000.0,38500.0,45100.0,62500.0,43600.0,38900.0,35200.0,37300.0,49100.0
Western Texas College,TX,0.0,750.0,2,1,2790.0,5160.0,33900.0,29900.0,26100.0,29600.0,41300.0,32500.0,27000.0,25000.0,26000.0,39300.0
Norwich University,VT,0.0,3120.0,1,2,40014.0,40014.0,49800.0,45900.0,30900.0,43000.0,53900.0,38800.0,37100.0,23000.0,39600.0,38600.0
SIT Graduate Institute,VT,0.0,,1,2,,,,,,,,42300.0,44000.0,23400.0,,
Tyler Junior College,TX,0.0,9491.0,1,1,2962.0,5482.0,37500.0,32100.0,42000.0,32500.0,45500.0,29600.0,25500.0,28400.0,26100.0,33800.0
Sterling College,VT,0.0,107.0,1,2,38300.0,38300.0,26500.0,22700.0,16300.0,,,,,,,
UCAS University of Cosemtology Arts & Sciences-McAllen,TX,0.0,156.0,3,3,,,17100.0,14500.0,12600.0,,,15300.0,13900.0,11700.0,,
Barstow Community College,CA,0.0,2721.0,2,1,1104.0,6720.0,34900.0,31400.0,25200.0,30800.0,44300.0,25900.0,20800.0,21300.0,21400.0,33500.0
Allan Hancock College,CA,0.0,9045.0,2,1,1352.0,6784.0,36300.0,31100.0,29400.0,30600.0,46800.0,25400.0,21100.0,20500.0,23300.0,28500.0
University of Arkansas-Pulaski Technical College,AR,0.0,3705.0,2,1,5252.0,6447.0,30600.0,27300.0,24300.0,29500.0,33200.0,25300.0,23200.0,18400.0,23800.0,27700.0
American Beauty College,CA,0.0,129.0,3,3,,,,,,,,14300.0,12800.0,12300.0,,
Cabrillo College,CA,0.0,10164.0,2,1,1270.0,7462.0,39300.0,33900.0,32300.0,37600.0,42300.0,28300.0,22800.0,25900.0,27400.0,29700.0
California Baptist University,CA,0.0,7811.0,1,2,33478.0,33478.0,51400.0,50300.0,34000.0,46100.0,58200.0,36900.0,32400.0,25400.0,34700.0,42000.0
Clovis Adult Education,CA,0.0,752.0,3,1,,,38700.0,33900.0,31400.0,,,32000.0,29100.0,20100.0,,
California Institute of Technology,CA,0.0,948.0,1,2,52362.0,52362.0,97500.0,80000.0,82200.0,,,85500.0,68200.0,125000.0,,
CET-San Jose,CA,0.0,248.0,3,2,,,27000.0,24000.0,19400.0,23500.0,31800.0,22100.0,17500.0,19100.0,17900.0,25900.0
Cogswell College,CA,0.0,589.0,1,3,20056.0,20056.0,59200.0,54500.0,41100.0,,,40400.0,33900.0,28000.0,,
CET-Colton,CA,0.0,154.0,3,2,,,27000.0,24000.0,19400.0,23500.0,31800.0,22100.0,17500.0,19100.0,17900.0,25900.0
University of California-Santa Cruz,CA,0.0,17792.0,1,1,13960.0,42952.0,54100.0,48500.0,43600.0,49800.0,60300.0,33400.0,29900.0,23700.0,31900.0,35200.0
Crafton Hills College,CA,0.0,5661.0,2,1,1144.0,8104.0,41500.0,36600.0,31900.0,36600.0,50600.0,29300.0,24400.0,33000.0,27400.0,32200.0
San Diego Christian College,CA,0.0,448.0,1,2,31404.0,31404.0,41600.0,38800.0,28200.0,35300.0,49900.0,28300.0,25300.0,20100.0,24100.0,34200.0
Church Divinity School of the Pacific,CA,0.0,,1,2,,,,,,,,,,,,
Canada College,CA,0.0,4867.0,2,1,1360.0,7744.0,37400.0,32400.0,30000.0,35200.0,41300.0,31800.0,25900.0,27500.0,28800.0,37700.0
College of the Canyons,CA,0.0,18649.0,2,1,1156.0,7612.0,45500.0,36200.0,38900.0,41900.0,51400.0,32500.0,27200.0,25200.0,32300.0,32800.0
Diablo Valley College,CA,0.0,18327.0,2,1,1312.0,8564.0,46100.0,42200.0,34300.0,43300.0,49800.0,32600.0,26200.0,28400.0,31300.0,34100.0
Life Pacific University,CA,0.0,504.0,1,2,15654.0,15654.0,33500.0,29900.0,24600.0,,,26700.0,24200.0,16800.0,22000.0,30700.0
Moorpark College,CA,0.0,13282.0,2,1,1388.0,7050.0,46100.0,41000.0,34400.0,42800.0,50600.0,30900.0,25900.0,24900.0,29600.0,32600.0
The Master's University and Seminary,CA,0.0,1185.0,1,2,25390.0,25390.0,49000.0,45800.0,35200.0,35000.0,62200.0,33600.0,29500.0,24400.0,29200.0,38100.0
Los Angeles Mission College,CA,0.0,8496.0,2,1,1220.0,7746.0,36300.0,33800.0,24300.0,35300.0,39100.0,26000.0,23100.0,20600.0,24700.0,28800.0
Palomar College,CA,0.0,21162.0,2,1,1338.0,8702.0,40900.0,35500.0,31800.0,36300.0,48100.0,28300.0,24100.0,22900.0,24500.0,33300.0
Dongguk University-Los Angeles,CA,0.0,0.0,1,2,,,31300.0,20000.0,32400.0,,,,,,,
Pasadena City College,CA,0.0,24838.0,2,1,1166.0,7548.0,41600.0,37200.0,30900.0,39900.0,44300.0,27000.0,23300.0,20600.0,26900.0,27100.0
Pitzer College,CA,0.0,1072.0,1,2,54056.0,54056.0,54000.0,47700.0,41500.0,48600.0,62500.0,33600.0,29500.0,27600.0,,
Santa Barbara Business College-Bakersfield,CA,0.0,272.0,1,3,11658.0,11658.0,25400.0,23600.0,19500.0,24200.0,34100.0,25200.0,22100.0,21300.0,22500.0,33100.0
Oxnard College,CA,0.0,6770.0,2,1,1388.0,7050.0,35800.0,31800.0,26600.0,33500.0,40400.0,25800.0,23700.0,17700.0,24000.0,28600.0
Colorado Mountain College,CO,0.0,3250.0,1,1,2220.0,11172.0,37000.0,31400.0,45500.0,30200.0,44700.0,27500.0,24700.0,20000.0,25800.0,28900.0
University of New Haven,CT,0.0,5041.0,1,2,39270.0,39270.0,54400.0,52900.0,29200.0,48600.0,58700.0,39300.0,36700.0,22400.0,37500.0,41000.0
Lincoln Technical Institute-East Windsor,CT,0.0,913.0,2,3,,,44100.0,42100.0,26400.0,,,35900.0,33900.0,22800.0,37400.0,34000.0
Morgan Community College,CO,0.0,645.0,2,1,3765.0,14853.0,35300.0,26300.0,61900.0,27900.0,51900.0,30500.0,26900.0,21500.0,28200.0,36100.0
Empire Beauty School-Thornton,CO,0.0,101.0,3,3,,,26800.0,23600.0,20100.0,,,20400.0,19600.0,14300.0,,
Western Colorado University,CO,0.0,1940.0,1,1,10114.0,21586.0,43700.0,39500.0,33800.0,34900.0,49200.0,29500.0,25700.0,22200.0,26400.0,31300.0
Nazarene Bible College,CO,0.0,555.0,1,2,11760.0,11760.0,34300.0,29700.0,24100.0,,,32400.0,27700.0,26800.0,22300.0,38200.0
Capital Community College,CT,0.0,2966.0,2,1,4464.0,13232.0,42200.0,37900.0,27100.0,42200.0,42000.0,26900.0,24500.0,19100.0,27300.0,25900.0
Asnuntuck Community College,CT,0.0,1479.0,2,1,4464.0,13232.0,36000.0,33800.0,25200.0,,,24600.0,21200.0,19500.0,21900.0,28800.0
Florida Institute of Technology,FL,0.0,3411.0,1,2,41850.0,41850.0,60400.0,57200.0,34200.0,50000.0,65600.0,43200.0,38200.0,28900.0,38700.0,45600.0
Miami Dade College,FL,0.0,49443.0,1,1,2838.0,9661.0,39800.0,34200.0,29700.0,37400.0,44200.0,27300.0,24100.0,20200.0,25900.0,29700.0
Ringling College of Art and Design,FL,0.0,1559.0,1,2,46420.0,46420.0,46200.0,40800.0,32000.0,39200.0,50100.0,35100.0,27100.0,48000.0,32600.0,38200.0
Fort Myers Technical College,FL,0.0,1092.0,2,1,,,33800.0,33200.0,22800.0,,,25700.0,24300.0,16000.0,,
Lindsey Hopkins Technical College,FL,0.0,783.0,2,1,,,45600.0,38700.0,41100.0,,,27400.0,23600.0,18200.0,28100.0,26100.0
Loraines Academy & Spa,FL,0.0,88.0,3,3,,,21300.0,17200.0,18100.0,,,18100.0,16200.0,12500.0,,
Luther Rice College & Seminary,GA,0.0,293.0,1,2,7616.0,7616.0,,,,,,37000.0,35600.0,23500.0,,
George Stone Technical College,FL,0.0,595.0,2,1,,,23300.0,20900.0,17100.0,20800.0,26700.0,21000.0,15700.0,19100.0,,
Interactive College of Technology-Morrow,GA,0.0,64.0,2,3,9770.0,9770.0,28400.0,25100.0,22300.0,24800.0,32700.0,22000.0,18700.0,16900.0,18900.0,25200.0
Clayton  State University,GA,0.0,5630.0,1,1,5419.0,15880.0,41900.0,39800.0,27600.0,37900.0,52000.0,33800.0,30500.0,23700.0,32500.0,37000.0
Andrew College,GA,0.0,292.0,1,2,17388.0,17388.0,35500.0,33200.0,24700.0,29800.0,39800.0,21800.0,20400.0,13300.0,18600.0,24200.0
Valencia College,FL,0.0,38107.0,1,1,2474.0,9383.0,38000.0,34100.0,29300.0,35600.0,41700.0,27300.0,24900.0,17700.0,25900.0,29300.0
Saint Johns River State College,FL,0.0,4677.0,1,1,2830.0,10347.0,34800.0,32300.0,21600.0,32400.0,39700.0,27800.0,25400.0,18500.0,26900.0,29600.0
Florida Panhandle Technical College,FL,0.0,317.0,2,1,,,26400.0,23800.0,19400.0,,,22000.0,19800.0,14500.0,22500.0,20900.0
Clark Atlanta University,GA,0.0,3320.0,1,2,22186.0,22186.0,39700.0,37600.0,25800.0,39400.0,40200.0,25900.0,23500.0,17700.0,25700.0,26300.0
Southeastern University,FL,0.0,5570.0,1,2,25870.0,25870.0,36500.0,35300.0,22600.0,30600.0,42100.0,28800.0,27600.0,16800.0,27100.0,31300.0
East Georgia State College,GA,0.0,2502.0,1,1,3110.0,9307.0,34600.0,29800.0,24700.0,29800.0,41500.0,25900.0,23700.0,16900.0,23800.0,28500.0
Withlacoochee Technical College,FL,0.0,65.0,2,1,,,,,,,,22800.0,20400.0,16700.0,20300.0,25900.0
Georgia Southwestern State University,GA,0.0,2231.0,1,1,5381.0,15842.0,39500.0,35800.0,27600.0,35700.0,46600.0,30600.0,28200.0,20100.0,29200.0,33500.0
Chattahoochee Technical College,GA,0.0,8442.0,2,1,2816.0,4952.0,32800.0,30600.0,23100.0,29900.0,39500.0,25600.0,22400.0,19200.0,23100.0,30300.0
The College of Idaho,ID,0.0,939.0,1,2,30155.0,30155.0,46600.0,42800.0,28600.0,44100.0,49500.0,29100.0,28500.0,16400.0,27100.0,32900.0
Chicago Theological Seminary,IL,0.0,,1,2,,,,,,,,,,,,
Aveda Institute-Twin Falls,ID,0.0,58.0,2,3,,,,,,,,,,,,
City Colleges of Chicago-Kennedy-King College,IL,0.0,1965.0,2,1,3504.0,11544.0,31500.0,27100.0,23800.0,32100.0,29300.0,24000.0,17500.0,21000.0,24400.0,23100.0
Blessing Rieman College of Nursing and Health Sciences,IL,0.0,192.0,1,2,,,,,,,,45300.0,45800.0,17100.0,,
Northwest Nazarene University,ID,0.0,1268.0,1,2,29800.0,29800.0,40000.0,35900.0,28400.0,30300.0,50500.0,35200.0,30100.0,25700.0,34300.0,36600.0
Concordia University-Chicago,IL,0.0,1463.0,1,2,32078.0,32078.0,45500.0,41300.0,27300.0,42500.0,51000.0,31100.0,27700.0,20400.0,29900.0,33100.0
Hebrew Theological College,IL,0.0,87.0,1,2,12920.0,12920.0,,,,,,26000.0,22600.0,18600.0,,
Highland Community College,IL,0.0,1210.0,2,1,4167.0,6519.0,32300.0,29700.0,23000.0,29200.0,39300.0,24800.0,22200.0,18200.0,22500.0,28600.0
Prairie State College,IL,0.0,3302.0,2,1,4176.0,11064.0,34200.0,30000.0,24600.0,33500.0,35700.0,25300.0,20600.0,19100.0,25300.0,25300.0
The John Marshall Law School,IL,0.0,,1,2,,,,,,,,,,,,
Roosevelt University,IL,0.0,2377.0,1,2,29832.0,29832.0,47200.0,43200.0,33900.0,44000.0,53700.0,36800.0,34000.0,23900.0,36300.0,37700.0
Educators of Beauty College of Cosmetology-Sterling,IL,0.0,36.0,3,3,,,19900.0,17000.0,14000.0,,,17500.0,15400.0,11300.0,,
