,School,sat_scores.25th_percentile.critical_reading,sat_scores.midpoint.critical_reading,sat_scores.75th_percentile.critical_reading,sat_scores.25th_percentile.math,sat_scores.midpoint.math,sat_scores.75th_percentile.math
425,Ottawa University-Ottawa,480.0,525.0,570.0,470.0,510.0,550.0
426,Independence Community College,,,,,,
427,American National University-Lexington,,,,,,
428,Clear Creek Baptist Bible College,,,,,,
429,Sterling College,460.0,495.0,530.0,470.0,505.0,540.0
430,Galen College of Nursing-Louisville,,,,,,
431,University of the Cumberlands,485.0,538.0,590.0,510.0,550.0,590.0
432,Lexington Theological Seminary,,,,,,
433,Madisonville Community College,,,,,,
434,ITI Technical College,,,,,,
435,Bossier Parish Community College,,,,,,
436,Spalding University,,,,500.0,545.0,590.0
437,Centenary College of Louisiana,530.0,570.0,610.0,520.0,565.0,610.0
438,Murray State University,518.0,566.0,613.0,510.0,555.0,600.0
439,Louisiana State University and Agricultural & Mechanical College,540.0,590.0,640.0,530.0,590.0,650.0
440,Northern Kentucky University,510.0,560.0,610.0,480.0,550.0,620.0
441,Denham Springs Beauty School,,,,,,
442,Louisiana Tech University,420.0,445.0,470.0,450.0,475.0,500.0
443,University of Maine at Augusta,,,,,,
444,McNeese State University,490.0,530.0,570.0,480.0,525.0,570.0
445,University of Maine at Machias,,,,,,
446,Xavier University of Louisiana,526.0,578.0,629.0,490.0,525.0,560.0
447,Fletcher Technical Community College,,,,,,
448,Remington College-Lafayette Campus,,,,,,
449,Stevensons Academy of Hair Design,,,,,,
450,Northern Maine Community College,,,,,,
451,Southern University and A & M College,460.0,510.0,560.0,470.0,500.0,530.0
452,Central Maine Community College,,,,,,
453,Franciscan Missionaries of Our Lady University,,,,,,
454,Fortis Institute-Towson,,,,,,
455,Bowie State University,,,,,,
456,Capitol Technology University,450.0,500.0,550.0,550.0,575.0,600.0
457,Cecil College,,,,,,
458,American International College,460.0,510.0,560.0,460.0,500.0,540.0
459,Hair Academy Inc-New Carrollton,,,,,,
460,Andover Newton Theological School,,,,,,
461,Prince George's Community College,,,,,,
462,North American Trade Schools,,,,,,
463,Robert Paul Academy of Cosmetology Arts & Sciences,,,,,,
464,University of Maryland Global Campus,,,,,,
465,Salisbury University,,,,,,
466,Lasell University,490.0,540.0,590.0,490.0,535.0,580.0
467,Lawrence Memorial Hospital School of Nursing,,,,,,
468,Cambridge College,,,,,,
469,Boston Baptist College,430.0,480.0,530.0,455.0,495.0,535.0
470,Cape Cod Community College,,,,,,
471,Bay State College,,,,,,
472,Greenfield Community College,,,,,,
473,Vermont Technical College,,,,,,
474,Victoria Beauty College Inc,,,,,,
475,Davis Technical College,,,,,,
476,Evans Hairstyling College-St George,,,,,,
477,LDS Business College,,,,,,
478,Weber State University,,,,,,
479,Champlain College,560.0,605.0,650.0,530.0,580.0,630.0
480,Green Mountain College,520.0,565.0,610.0,470.0,520.0,570.0
481,Hollins University,560.0,610.0,660.0,510.0,565.0,620.0
482,Southwest Virginia Community College,,,,,,
483,Lord Fairfax Community College,,,,,,
484,Danville Community College,,,,,,
485,Southside College of Health Sciences,,,,,,
486,Sweet Briar College,520.0,575.0,630.0,470.0,525.0,580.0
487,Centra College of Nursing,,,,,,
488,Mary Baldwin University,490.0,540.0,590.0,460.0,500.0,540.0
489,Tidewater Community College,,,,,,
490,Union Presbyterian Seminary,,,,,,
491,Eastern Shore Community College,,,,,,
492,Randolph-Macon College,520.0,575.0,630.0,500.0,555.0,610.0
493,Germanna Community College,,,,,,
494,Richard Bland College,,,,,,
495,Hampton University,,,,,,
496,Mountain Empire Community College,,,,,,
497,City University of Seattle,,,,,,
498,Spokane Community College,,,,,,
499,Spokane Falls Community College,,,,,,
500,Paroba College of Cosmetology,,,,,,
501,University of Washington-Seattle Campus,600.0,650.0,700.0,620.0,690.0,760.0
502,Wenatchee Valley College,,,,,,
503,Toni & Guy Hairdressing Academy-Shoreline,,,,,,
504,Heritage University,,,,,,
505,Marshall University,470.0,525.0,580.0,440.0,495.0,550.0
506,Meredith Manor International Equestrian Center,,,,,,
507,International Beauty School 4,,,,,,
508,Alderson Broaddus University,460.0,505.0,550.0,460.0,505.0,550.0
509,Mountain State College,,,,,,
510,West Virginia University,530.0,575.0,620.0,520.0,570.0,620.0
511,B M Spurr School of Practical Nursing,,,,,,
512,West Virginia University Hospital Departments of Rad Tech and Nutrition,,,,,,
513,WyoTech,,,,,,
514,Instituto Tecnologico de Puerto Rico-Recinto de Manati,,,,,,
515,Huertas College,,,,,,
516,Universidad Central de Bayamon,,,,,,
517,Waukesha County Technical College,,,,,,
518,University of Puerto Rico-Utuado,,,,,,
519,Warren County Community College,,,,,,
520,St. John's College,610.0,665.0,720.0,590.0,645.0,700.0
521,Antioch University-Los Angeles,,,,,,
522,Inter American University of Puerto Rico-Bayamon,,,,,,
523,Antioch University-New England,,,,,,
524,Antioch University-Midwest,,,,,,
525,Modern Hairstyling Institute-Bayamon,,,,,,
526,Platt College,,,,,,
527,National University College,,,,,,
528,College of Micronesia-FSM,,,,,,
529,Austin Graduate School of Theology,,,,,,
530,UCAS University of Cosmetology Arts & Sciences-San Antonio 410,,,,,,
531,Jenny Lea Academy of Cosmetology,,,,,,
532,Empire Beauty School-Hurstborne,,,,,,
533,GateWay Community College-Central City,,,,,,
534,Lac Courte Oreilles Ojibwe College,,,,,,
535,Aviation Institute of Maintenance-Philadelphia,,,,,,
536,Waynesville Career Center,,,,,,
537,Tricoci University of Beauty Cuture LLC-Bloomington,,,,,,
538,Blades School of Hair Design,,,,,,
539,Palomar Institute of Cosmetology,,,,,,
540,Platt College-McCann-Monroe,,,,,,
541,Heartland Community College,,,,,,
542,Copper Mountain Community College,,,,,,
543,Lincoln Trail College,,,,,,
544,Brookline College-Tempe,,,,,,
545,Pima Medical Institute-Denver,,,,,,
546,Inter American University of Puerto Rico-School of Optometry,,,,,,
547,Schiller International University,,,,,,
548,Capri Institute of Hair Design-Paramus,,,,,,
549,Nouvelle Institute,,,,,,
550,Cosmetology Training Center,,,,,,
551,Southern Careers Institute-Pharr,,,,,,
552,Pioneer Career and Technology Center,,,,,,
553,Raphael's School of Beauty Culture Inc-Boardman,,,,,,
554,South Texas College,,,,,,
555,Trumbull Career & Technical Center,,,,,,
